# average χ² per Dalitz: 4.6777772
# --------------------------------------------------------------------------------------------------------------------------------------------------------
# bin                 m3pi [GeV]            alpha                 Re beta               Im beta               Re delta              Im delta              
# --------------------------------------------------------------------------------------------------------------------------------------------------------
11                    0.96                  208.056168213         0                     0                     -20407.2565449        -2094.90095125        
12                    1                     384.39355916          0                     0                     -4689.50243553        -5735.23334046        
13                    1.04                  444.020651998         0                     0                     1397.08830431         -4952.01880235        
14                    1.08                  334.071768449         0                     0                     1775.48848514         -3232.62185376        
15                    1.12                  412.26711226          0                     0                     -1091.43293439        -2852.17572897        
16                    1.16                  353.127619101         0                     0                     -195.120456833        -1335.78838066        
17                    1.2                   477.504272938         0                     0                     -1465.52111055        -1341.33673931        
18                    1.24                  511.248808706         0                     0                     -1424.0898958         -926.454233234        
19                    1.28                  419.128148107         0                     0                     -652.577862348        -375.291388964        
20                    1.32                  536.999357492         0                     0                     -1324.93782027        -614.15579288         
21                    1.36                  512.119429515         0                     0                     -1267.31628887        -512.699480628        
22                    1.4                   413.903592802         0                     0                     -899.452221762        -375.43384002         
23                    1.44                  374.739446122         0                     0                     -786.309833843        -318.802713129        
24                    1.48                  380.262731948         0                     0                     -770.917009982        -274.144801293        
25                    1.52                  384.023657806         0                     0                     -784.56062122         -228.014009193        
26                    1.56                  376.674993646         0                     0                     -763.388913502        -203.761399182        
27                    1.6                   359.969881312         0                     0                     -702.820222964        -159.146464423        
28                    1.64                  319.20134707          0                     0                     -614.099345486        -130.479919708        
29                    1.68                  271.451372938         0                     0                     -508.279125447        -106.072056466        
30                    1.72                  236.815864765         0                     0                     -431.232267874        -78.9380611735        
31                    1.76                  197.619237233         0                     0                     -357.771653177        -61.0277648944        
32                    1.8                   163.168775222         0                     0                     -278.047784408        -39.082095083         
33                    1.84                  133.358108654         0                     0                     -225.103388057        -30.5359191634        
34                    1.88                  107.084132167         0                     0                     -180.331320553        -23.3007347136        
35                    1.92                  86.9597868071         0                     0                     -144.578467589        -14.4214923179        
36                    1.96                  67.8193845012         0                     0                     -108.637528578        -9.64902653399        
37                    2                     60.4547819276         0                     0                     -97.6885569538        -13.1391320617        
38                    2.04                  50.9568463177         0                     0                     -82.3196600814        -16.7500758864        
39                    2.08                  50.6808170202         0                     0                     -83.0997398137        -12.7139235545        
40                    2.12                  36.153064258          0                     0                     -54.1356137649        -12.1573864366        
41                    2.16                  39.1626140108         0                     0                     -57.0364417512        -8.42132682225        
42                    2.2                   28.8661222584         0                     0                     -43.1068292104        -6.6157020605         
43                    2.24                  20.4035453482         0                     0                     -27.3647935701        -5.64250606648        
44                    2.28                  21.5572690571         0                     0                     -30.7280045124        -5.14402479521        
45                    2.32                  14.4308588211         0                     0                     -17.6857823368        -4.93253959038        
46                    2.36                  13.1986530163         0                     0                     -12.2415978833        4.03938097479         
47                    2.4                   16.3151678078         0                     0                     -17.6783022917        6.39156030255         
48                    2.44                  20.0292941754         0                     0                     -23.2587348133        7.80365265703         
49                    2.48                  12.9498590544         0                     0                     -10.8467345685        3.41512134559         
# ----------------------------------------------------------------
# b_alpha             b_beta                b_delta               
# ----------------------------------------------------------------
3.17694096269         0                     5.0552672618          
