# m3pi             BFF                std                
0.96               -3.03929627        0.383485636        
1                  -2.25621648        0.0747708959       
1.04               -1.2958182         0.0880267132       
1.08               -1.06853602        0.091698469        
1.12               -1.93627157        0.0524307043       
1.16               -1.71584191        0.0617703085       
1.2                -2.40040886        0.0294746782       
1.24               -2.56482469        0.0183632018       
1.28               -2.61969029        0.0253949022       
1.32               -2.70753974        0.0100494936       
1.36               -2.7571655         0.0058986305       
1.4                -2.74617449        0.00601114202      
1.44               -2.75640407        0.0051701135       
1.48               -2.79992998        0.00393116604      
1.52               -2.85875755        0.00296245412      
1.56               -2.88075666        0.00302853469      
1.6                -2.91890822        0.00239048611      
1.64               -2.93223249        0.00299111561      
1.68               -2.93585681        0.00253973376      
1.72               -2.96054478        0.00214339945      
1.76               -2.97264135        0.00261679931      
1.8                -3.00194858        0.00202995538      
1.84               -3.0067628         0.00222425029      
1.88               -3.01309392        0.00245243028      
1.92               -3.04217297        0.00263244886      
1.96               -3.05300657        0.00831570453      
2                  -3.0078948         0.00355131801      
2.04               -2.94085702        0.00561054135      
2.08               -2.98977398        0.00403050749      
2.12               -2.92068486        0.00611308351      
2.16               -2.99500356        0.00423605593      
2.2                -2.9893086         0.00583358986      
2.24               -2.93824673        0.00855437413      
2.28               -2.97572558        0.00800725452      
2.32               -2.86960559        0.0149570969       
2.36               -3.4603147         0.0305707645       
2.4                -3.48851823        0.0102613264       
2.44               -3.46530535        0.00742964145      
2.48               -3.44661927        0.0180606333       
