# m3pi             BFF                std                
0.96               208.056168         52.5352814         
1                  384.393559         19.0483548         
1.04               444.020652         38.830056          
1.08               334.071768         24.655327          
1.12               412.267112         17.6681119         
1.16               353.127619         13.6305706         
1.2                477.504273         12.8373684         
1.24               511.248809         10.8539552         
1.28               419.128148         6.62454173         
1.32               536.999357         8.9358989          
1.36               512.11943          5.54018769         
1.4                413.903593         4.67490685         
1.44               374.739446         3.82471226         
1.48               380.262732         3.07868742         
1.52               384.023658         2.7120707          
1.56               376.674994         2.74617693         
1.6                359.969881         2.4874686          
1.64               319.201347         2.91013315         
1.68               271.451373         2.12951399         
1.72               236.815865         1.65074719         
1.76               197.619237         1.75662542         
1.8                163.168775         1.2725973          
1.84               133.358109         1.07905186         
1.88               107.084132         0.987011534        
1.92               86.9597868         0.943816835        
1.96               67.8193845         2.40205824         
2                  60.4547819         0.775841939        
2.04               50.9568463         0.854332119        
2.08               50.680817          0.677529968        
2.12               36.1530643         0.644240063        
2.16               39.162614          0.60354402         
2.2                28.8661223         0.579012291        
2.24               20.4035453         0.553273682        
2.28               21.5572691         0.552188361        
2.32               14.4308588         0.645276726        
2.36               13.198653          0.2417872          
2.4                16.3151678         0.38388912         
2.44               20.0292942         0.467437443        
2.48               12.9498591         0.261122524        
