# m3pi             BFF                std                
0.96               20514.5005         1373.13087         
1                  7408.39622         376.041541         
1.04               5145.32273         335.454658         
1.08               3688.11651         157.639684         
1.12               3053.87168         94.9388612         
1.16               1349.96392         65.8436968         
1.2                1986.6898          85.5019814         
1.24               1698.92598         70.3304028         
1.28               752.795784         36.1707988         
1.32               1460.35871         43.1946535         
1.36               1367.09595         23.7231336         
1.4                974.661412         20.6258648         
1.44               848.480008         15.0168801         
1.48               818.210491         11.723028          
1.52               817.022495         9.63828625         
1.56               790.114764         8.67524262         
1.6                720.613532         7.2585368          
1.64               627.808104         7.87907229         
1.68               519.229189         5.36734342         
1.72               438.397635         3.97577909         
1.76               362.939312         3.98368087         
1.8                280.781019         2.87963573         
1.84               227.165089         2.3217554          
1.88               181.830441         2.13274073         
1.92               145.295949         1.86831207         
1.96               109.065193         4.36812317         
2                  98.5682046         1.47102504         
2.04               84.0064966         1.64559128         
2.08               84.0667033         1.18725232         
2.12               55.4839321         1.20666118         
2.16               57.6547867         1.06336695         
2.2                43.6115379         0.983610927        
2.24               27.9404689         0.996203176        
2.28               31.1555974         0.946511538        
2.32               18.3607419         1.42691318         
2.36               12.890823          0.443181993        
2.4                18.7982556         0.792354822        
2.44               24.5329521         0.87456445         
2.48               11.3716624         0.359985172        
