# average χ² per Dalitz: 4.0470558
# --------------------------------------------------------------------------------------------------------------------------------------------------------
# bin                 m3pi [GeV]            alpha                 Re beta               Im beta               Re delta              Im delta              
# --------------------------------------------------------------------------------------------------------------------------------------------------------
11                    0.96                  0.0493851164993       1617.83110239         0                     -9860.32466474        15507.7354518         
12                    1                     154.928714015         834.79542204          0                     -4196.27793281        3791.75851973         
13                    1.04                  56.2969720153         1390.62158092         0                     -4149.04080646        -233.995620469        
14                    1.08                  112.465220855         865.362681257         0                     -902.867243061        -397.32942379         
15                    1.12                  172.288784087         734.973175539         0                     -2482.46300186        -1905.16297553        
16                    1.16                  140.964124068         1000.87136359         0                     -3247.75478517        -600.294496785        
17                    1.2                   292.179273293         440.025264238         0                     -2088.51850228        -1111.76477858        
18                    1.24                  320.254185876         586.987958182         0                     -2531.32194362        -700.16779751         
19                    1.28                  280.261382201         623.556498721         0                     -2061.96184138        -84.609035072         
20                    1.32                  366.180530675         208.386891434         0                     -1282.64265448        -542.716576174        
21                    1.36                  356.77076513          38.6336232889         0                     -851.775000898        -498.36413254         
22                    1.4                   282.460837698         30.8363490473         0                     -548.952900879        -341.235759203        
23                    1.44                  260.912167952         91.5463776794         0                     -671.135436282        -301.386971159        
24                    1.48                  258.308887958         40.7746825728         0                     -512.128643878        -248.83243236         
25                    1.52                  261.67464559          4.18792984698         0                     -473.207116996        -221.736351716        
26                    1.56                  256.573437416         1.33710500287         0                     -471.331465546        -204.776194928        
27                    1.6                   246.111386175         0.410978799501        0                     -439.640067184        -161.050880533        
28                    1.64                  216.805737986         2.61991343333e-10     0                     -386.365276483        -134.457081714        
29                    1.68                  184.507768595         3.51818103331e-06     0                     -322.163656957        -109.449559776        
30                    1.72                  161.040625393         2.24171145882e-09     0                     -274.609579183        -81.5531191685        
31                    1.76                  134.085985744         2.91435014311e-05     0                     -231.039212148        -64.3722815351        
32                    1.8                   111.957842704         6.87734780107         0                     -190.177664242        -39.0949026829        
33                    1.84                  96.0837722429         65.7705974614         0                     -259.431266119        -28.1100227425        
34                    1.88                  80.1505205348         83.4418028186         0                     -260.317679098        -20.8524523828        
35                    1.92                  69.8367549341         118.481165182         0                     -293.798608883        -10.5570119133        
36                    1.96                  54.3444971767         108.69728084          0                     -243.34398798         2.49514595733         
37                    2                     50.6895184866         104.900053496         0                     -235.122173772        -12.2662411662        
38                    2.04                  42.0993145557         82.8298757049         0                     -187.326671392        -16.9653310593        
39                    2.08                  41.7903703215         78.7669594925         0                     -180.884689961        -13.0166474064        
40                    2.12                  27.8979553152         31.1874452339         0                     -85.3018256234        -12.5771259396        
41                    2.16                  29.1137987995         25.0681913909         0                     -75.3217698711        -8.66660010253        
42                    2.2                   26.02342322           66.546372287          0                     -126.827926946        -5.91794009156        
43                    2.24                  18.9865843265         48.2831815689         0                     -87.7937226434        -4.55698894454        
44                    2.28                  19.3037092653         52.4670778009         0                     -91.3946862118        -2.75905899398        
45                    2.32                  17.7674888232         69.2500351569         0                     -106.788688001        0.590559703747        
46                    2.36                  14.7505575034         38.879577096          0                     -66.2166391705        9.15551432992         
47                    2.4                   16.9309294929         44.6940823606         0                     -71.0217325397        6.27203877297         
48                    2.44                  17.2543842645         37.1556089895         0                     -61.4950953917        7.69129920244         
49                    2.48                  13.6380917821         66.4366218893         0                     -102.048316935        7.12473602496         
# ----------------------------------------------------------------
# b_alpha             b_beta                b_delta               
# ----------------------------------------------------------------
2.60196837377         6.05674468403         4.92403349377         
