# m3pi             BFF                std                
0.96               -4.14603778        0.0438556812       
1                  -3.87639338        0.331802779        
1.04               -3.08525481        0.196123576        
1.08               -2.72702283        0.363416453        
1.12               -2.48701759        0.0444088096       
1.16               -2.9588217         0.0383545841       
1.2                -2.65242287        0.0328924771       
1.24               -2.87173802        0.0158739733       
1.28               -3.10058239        0.0134662594       
1.32               -2.74131228        0.0175600027       
1.36               -2.61220932        0.0324818461       
1.4                -2.5854333         0.0348627039       
1.44               -2.71951216        0.0190498662       
1.48               -2.68930572        0.0193886915       
1.52               -2.70339381        0.0077089369       
1.56               -2.73173394        0.00669167533      
1.6                -2.7904496         0.00516892505      
1.64               -2.80669614        0.00549484273      
1.68               -2.81409368        0.00485058924      
1.72               -2.85291025        0.00401613777      
1.76               -2.86986353        0.00450774833      
1.8                -2.9388467         0.00568048719      
1.84               -3.03366123        0.00523055925      
1.88               -3.06165946        0.00425925565      
1.92               -3.10567529        0.00298728605      
1.96               -3.15184587        0.0236915997       
2                  -3.08947026        0.00166699155      
2.04               -3.05127357        0.00303392622      
2.08               -3.06975546        0.00199501289      
2.12               -2.99520473        0.0223790314       
2.16               -3.0270354         0.00726694206      
2.2                -3.0949653         0.00217276206      
2.24               -3.08973356        0.00463157773      
2.28               -3.11141342        0.00282997748      
2.32               -3.14712277        0.00295059844      
2.36               -3.27898759        0.0465481152       
2.4                -3.22967569        0.00534799605      
2.44               -3.26601829        0.00400957139      
2.48               -3.21129682        0.0027914286       
