# m3pi             BFF                std                
0.96               0.0493851165       0.0103640827       
1                  154.928714         26.3829317         
1.04               56.296972          29.2388273         
1.08               112.465221         22.0535209         
1.12               172.288784         19.3241961         
1.16               140.964124         14.7024704         
1.2                292.179273         13.1318768         
1.24               320.254186         9.63410434         
1.28               280.261382         8.020993           
1.32               366.180531         7.46743709         
1.36               356.770765         5.25246889         
1.4                282.460838         4.48134084         
1.44               260.912168         3.59476642         
1.48               258.308888         3.44787159         
1.52               261.674646         3.03532342         
1.56               256.573437         2.89908889         
1.6                246.111386         2.55821559         
1.64               216.805738         2.65479072         
1.68               184.507769         2.00423359         
1.72               161.040625         1.6681101          
1.76               134.085986         1.55290338         
1.8                111.957843         1.2219536          
1.84               96.0837722         1.26797943         
1.88               80.1505205         1.21189075         
1.92               69.8367549         1.37381563         
1.96               54.3444972         2.01680694         
2                  50.6895185         1.11559127         
2.04               42.0993146         0.982151416        
2.08               41.7903703         0.951741044        
2.12               27.8979553         0.831435193        
2.16               29.1137988         0.614275761        
2.2                26.0234232         0.811010043        
2.24               18.9865843         0.596643813        
2.28               19.3037093         0.607303945        
2.32               17.7674888         0.723294555        
2.36               14.7505575         1.1620748          
2.4                16.9309295         0.532123585        
2.44               17.2543843         0.445655499        
2.48               13.6380918         0.798832426        
