# m3pi             BFF                std                
0.96               1617.8311          62.2501069         
1                  834.795422         43.2653061         
1.04               1390.62158         105.842823         
1.08               865.362681         73.3879112         
1.12               734.973176         43.8514926         
1.16               1000.87136         40.4527716         
1.2                440.025264         40.6759172         
1.24               586.987958         38.8469629         
1.28               623.556499         22.8453771         
1.32               208.386891         23.5271719         
1.36               38.6336233         21.2761119         
1.4                30.836349          15.7864498         
1.44               91.5463777         13.615433          
1.48               40.7746826         10.9982861         
1.52               4.18792985         1.98205237         
1.56               1.337105           1.57690409         
1.6                0.4109788          1.20713808         
1.64               2.61991343e-10     0.574370877        
1.68               3.51818103e-06     0.319620901        
1.72               2.24171146e-09     0.0306537186       
1.76               2.91435014e-05     0.0792720426       
1.8                6.8773478          1.89845314         
1.84               65.7705975         4.62344145         
1.88               83.4418028         4.55794718         
1.92               118.481165         4.31045776         
1.96               108.697281         7.73655113         
2                  104.900053         3.09918272         
2.04               82.8298757         3.25761549         
2.08               78.7669595         2.33793898         
2.12               31.1874452         4.75298645         
2.16               25.0681914         2.39849409         
2.2                66.5463723         2.6018383          
2.24               48.2831816         2.89465259         
2.28               52.4670778         1.75925399         
2.32               69.2500352         2.81608431         
2.36               38.8795771         6.56557814         
2.4                44.6940824         1.65294786         
2.44               37.155609          1.11560257         
2.48               66.4366219         1.11029905         
