# m3pi             BFF                std                
0.96               18377.0471         1649.96354         
1                  5655.63269         708.765923         
1.04               4155.63395         607.972571         
1.08               986.427863         337.251007         
1.12               3129.26006         241.654659         
1.16               3302.76621         137.359769         
1.2                2365.9946          166.67579          
1.24               2626.37121         148.918542         
1.28               2063.697           63.1835973         
1.32               1392.73596         76.2723925         
1.36               986.857366         59.0246271         
1.4                646.367644         42.2145573         
1.44               735.701624         34.149581          
1.48               569.379774         27.0484824         
1.52               522.582037         12.5379943         
1.56               513.893608         10.558589          
1.6                468.210182         8.86020694         
1.64               409.092696         8.50112627         
1.68               340.247892         5.66818729         
1.72               286.463492         4.61032002         
1.76               239.839338         4.06777676         
1.8                194.154463         4.54047688         
1.84               260.949718         8.7713781          
1.88               261.151525         7.92161111         
1.92               293.988219         7.3099279          
1.96               243.35678          11.4125209         
2                  235.441919         4.72269894         
2.04               188.093339         5.37200011         
2.08               181.352431         3.667131           
2.12               86.2240428         7.94308374         
2.16               75.8187244         3.94405064         
2.2                126.965921         3.95672024         
2.24               87.9119098         4.37786986         
2.28               91.4363225         2.48101577         
2.32               106.790321         4.0708524          
2.36               66.8465911         11.6160751         
2.4                71.2981414         2.29973716         
2.44               61.9742111         1.50951911         
2.48               102.296729         1.23744296         
