# average χ² per Dalitz: 4.7056324
# --------------------------------------------------------------------------------------------------------------------------------------------------------
# bin                 m3pi [GeV]            alpha                 Re beta               Im beta               Re delta              Im delta              
# --------------------------------------------------------------------------------------------------------------------------------------------------------
11                    0.96                  179.148260447         0                     0                     -21095.2852113        -2526.84021129        
12                    1                     443.384417289         0                     0                     -5781.04511173        -6655.77975224        
13                    1.04                  517.453077681         0                     0                     2014.12310262         -5881.45152167        
14                    1.08                  385.42326921          0                     0                     2627.17138272         -3931.20771699        
15                    1.12                  541.65466943          0                     0                     -1379.65854841        -3607.8871166         
16                    1.16                  467.710884064         0                     0                     -262.062110283        -1751.64305565        
17                    1.2                   670.026454002         0                     0                     -2091.49124832        -1813.11529031        
18                    1.24                  724.77225968          0                     0                     -2049.82567193        -1291.57939478        
19                    1.28                  605.079333975         0                     0                     -967.274232686        -559.534489654        
20                    1.32                  788.935514312         0                     0                     -1938.10569431        -884.59676567         
21                    1.36                  782.390370621         0                     0                     -1979.84053468        -758.366306051        
22                    1.4                   640.010892423         0                     0                     -1412.4590949         -568.251179345        
23                    1.44                  596.976786473         0                     0                     -1284.38698227        -497.006126572        
24                    1.48                  608.336128168         0                     0                     -1236.40058279        -427.822323259        
25                    1.52                  625.268351218         0                     0                     -1283.56280062        -366.887900616        
26                    1.56                  621.747715236         0                     0                     -1260.76733467        -334.670371411        
27                    1.6                   603.602549175         0                     0                     -1182.41558964        -264.929395527        
28                    1.64                  541.698625636         0                     0                     -1040.48258092        -217.484768467        
29                    1.68                  466.847566599         0                     0                     -873.862372387        -180.987657568        
30                    1.72                  413.170605198         0                     0                     -753.968593449        -137.468731615        
31                    1.76                  348.32993796          0                     0                     -628.929302744        -107.49911798         
32                    1.8                   294.561239012         0                     0                     -500.415045182        -70.0216598046        
33                    1.84                  245.328352804         0                     0                     -412.024105393        -56.0502994273        
34                    1.88                  202.380329805         0                     0                     -340.466236674        -43.9320361387        
35                    1.92                  168.670384651         0                     0                     -280.141288838        -28.0233990613        
36                    1.96                  133.152351172         0                     0                     -212.924433415        -19.8601695849        
37                    2                     122.267566012         0                     0                     -196.668872903        -25.5518286691        
38                    2.04                  103.556562686         0                     0                     -166.075695095        -32.3072881155        
39                    2.08                  103.011536476         0                     0                     -168.33259215         -24.0017746278        
40                    2.12                  72.2901908877         0                     0                     -108.108811755        -24.0965721253        
41                    2.16                  84.6623949058         0                     0                     -124.08323828         -16.9962612962        
42                    2.2                   61.757683992          0                     0                     -92.5904701537        -14.1364684809        
43                    2.24                  41.1093261291         0                     0                     -54.2217845913        -12.7310691462        
44                    2.28                  49.4619697713         0                     0                     -70.520027349         -11.5604597742        
45                    2.32                  31.9891499151         0                     0                     -37.4952686354        -10.9928336435        
46                    2.36                  30.5020191609         0                     0                     -29.4644261051        10.6249779838         
47                    2.4                   34.9663110683         0                     0                     -37.2461697466        14.7413504033         
48                    2.44                  46.5826906624         0                     0                     -53.8555098276        17.3714496637         
49                    2.48                  33.652238477          0                     0                     -30.6011534165        8.93895777473         
# ----------------------------------------------------------------
# b_alpha             b_beta                b_delta               
# ----------------------------------------------------------------
3.1818232263          0                     5.05956538403         
