# m3pi             BFF                std                
0.96               -3.08782827        0.829425977        
1                  -2.335162          0.689833061        
1.04               -1.26697204        0.199085701        
1.08               -1.01751924        0.371828477        
1.12               -1.93306675        0.118473681        
1.16               -1.73239812        0.112325401        
1.2                -2.43273956        0.0644017295       
1.24               -2.58863077        0.0335005596       
1.28               -2.62947567        0.0315039691       
1.32               -2.72158695        0.0204398936       
1.36               -2.78256391        0.0169793977       
1.4                -2.76306137        0.0181113472       
1.44               -2.77830611        0.0178731209       
1.48               -2.81292712        0.0162411285       
1.52               -2.86780979        0.0141116885       
1.56               -2.88622949        0.0130820988       
1.6                -2.92557246        0.0118519121       
1.64               -2.93959303        0.0114047485       
1.68               -2.94091162        0.0114814149       
1.72               -2.96472983        0.0102584002       
1.76               -2.97621641        0.00947540217      
1.8                -3.00507851        0.00890167594      
1.84               -3.00923025        0.00862221635      
1.88               -3.01570366        0.00816216738      
1.92               -3.04379329        0.00707897584      
1.96               -3.05058376        0.010221709        
2                  -3.014612          0.00896105065      
2.04               -2.95166352        0.012949179        
2.08               -3.00261519        0.00979114148      
2.12               -2.92651327        0.014200737        
2.16               -3.00736344        0.00903766885      
2.2                -2.99403829        0.0113247435       
2.24               -2.91585424        0.0171381204       
2.28               -2.9835712         0.0132439602       
2.32               -2.86159298        0.195201855        
2.36               -3.22470376        0.030847452        
2.4                -3.30106129        0.0269445854       
2.44               -3.43221029        0.0185667161       
2.48               -3.47381701        0.024649885        
