# m3pi             BFF                std                
0.96               187.591667         258.670434         
1                  451.372233         171.903908         
1.04               515.237301         81.2375088         
1.08               392.709909         58.8317103         
1.12               542.351863         66.3748615         
1.16               471.668994         44.090507          
1.2                674.663843         35.9855861         
1.24               734.993714         30.3741139         
1.28               609.947071         19.8586055         
1.32               801.244758         28.5144006         
1.36               794.997081         28.2323689         
1.4                647.622576         22.7961261         
1.44               605.619823         22.2978118         
1.48               616.806822         22.3649478         
1.52               634.687032         24.5823001         
1.56               629.998818         24.7780611         
1.6                613.419503         25.4238323         
1.64               550.966602         23.8452501         
1.68               474.352646         21.089807          
1.72               420.168912         18.996881          
1.76               355.42816          16.3532424         
1.8                299.358968         14.0594803         
1.84               249.350798         12.086449          
1.88               206.011216         10.513291          
1.92               171.804784         9.38323316         
1.96               135.864572         8.67271313         
2                  124.940413         7.18789416         
2.04               105.609414         6.14171817         
2.08               105.597953         6.40888133         
2.12               73.9138446         4.19956043         
2.16               86.2254678         4.94580279         
2.2                63.6783923         3.95675159         
2.24               42.0102023         2.39405207         
2.28               50.7874184         3.11916958         
2.32               32.6221228         3.40697739         
2.36               29.3287464         1.8264362          
2.4                30.4813043         2.92651335         
2.44               34.9068537         3.29917837         
2.48               26.5945318         1.76811459         
