# m3pi             BFF                std                
0.96               21524.3602         7327.82657         
1                  9128.05107         2278.86285         
1.04               6335.15889         1580.02071         
1.08               4750.90811         1239.93872         
1.12               3851.66803         250.861744         
1.16               1780.31172         150.937588         
1.2                2778.37863         189.833884         
1.24               2442.99823         139.469388         
1.28               1125.00295         77.2434624         
1.32               2168.82689         91.0182772         
1.36               2150.14688         76.8004898         
1.4                1541.20079         59.4204597         
1.44               1395.85016         52.7375475         
1.48               1329.07336         47.6282606         
1.52               1354.59432         48.9759961         
1.56               1318.40153         45.4535538         
1.6                1230.45363         45.44469           
1.64               1079.66816         42.1916824         
1.68               904.992475         36.2776731         
1.72               777.781509         31.4713346         
1.76               649.493527         26.2006859         
1.8                512.876704         21.9102115         
1.84               421.641969         18.4519932         
1.88               348.560574         15.8323657         
1.92               285.959597         14.0981195         
1.96               218.052815         13.4482293         
2                  202.240624         10.5772456         
2.04               171.879565         9.06126659         
2.08               173.758641         9.13603789         
2.12               113.020371         6.10385145         
2.16               127.30717          6.71152743         
2.2                96.3463087         5.29400244         
2.24               56.8695393         3.29884075         
2.28               73.1053367         3.98962071         
2.32               39.8518671         8.2654384          
2.36               24.3209372         3.01065559         
2.4                25.357764          4.86395342         
2.44               32.9647755         4.60256898         
2.48               21.1240335         2.3649833          
