# average χ² per Dalitz: 4.0091359
# --------------------------------------------------------------------------------------------------------------------------------------------------------
# bin                 m3pi [GeV]            alpha                 Re beta               Im beta               Re delta              Im delta              
# --------------------------------------------------------------------------------------------------------------------------------------------------------
11                    0.96                  3.13593010066e-13     1652.09600401         0                     -9523.60008477        16741.5247149         
12                    1                     286.683851203         131.275581147         0                     -4531.80187458        -6789.88261035        
13                    1.04                  0.0601190481501       1788.24954785         0                     -5325.25375654        189.301463132         
14                    1.08                  63.0013375083         1253.12827124         0                     -1636.93864776        -78.6628976982        
15                    1.12                  196.938671688         943.691116867         0                     -3309.40591072        -2637.82114617        
16                    1.16                  128.226328429         1360.09032238         0                     -4273.55947296        -845.732392491        
17                    1.2                   374.362524261         620.765562615         0                     -2935.00267223        -1552.30733695        
18                    1.24                  400.321416746         895.743497515         0                     -3733.81381471        -1015.21331723        
19                    1.28                  341.666341486         959.226594709         0                     -2987.63799082        -105.205579351        
20                    1.32                  499.166764522         386.04369372          0                     -2018.64404685        -785.498044338        
21                    1.36                  507.047213769         99.2868253397         0                     -1323.11507286        -733.919081586        
22                    1.4                   410.494921294         73.5800289397         0                     -852.286075215        -507.189981774        
23                    1.44                  381.997860458         160.373892384         0                     -1028.50364246        -456.409131047        
24                    1.48                  386.69454411          85.624548751          0                     -795.070895773        -380.459303494        
25                    1.52                  402.497449997         14.2064735454         0                     -730.218369589        -352.412442678        
26                    1.56                  399.788270882         16.6754449482         0                     -752.045146826        -334.735617244        
27                    1.6                   391.256437551         2.65447418091         0                     -697.920737568        -267.757751875        
28                    1.64                  348.124090096         3.87759080896e-07     0                     -611.211576516        -224.640960425        
29                    1.68                  299.950596671         0.321323380772        0                     -519.070409638        -186.675876398        
30                    1.72                  265.405419694         0.000324578781796     0                     -449.111944421        -142.50350932         
31                    1.76                  223.713687391         1.1150236894          0                     -383.625478701        -113.891494858        
32                    1.8                   190.667426277         20.8862372754         0                     -335.243819093        -68.6833511912        
33                    1.84                  159.886660534         75.6712361301         0                     -375.247457009        -53.8902835089        
34                    1.88                  135.191845583         112.073563001         0                     -396.886088555        -42.0380213178        
35                    1.92                  117.41199998          191.479502653         0                     -487.47523146         -23.3753952796        
36                    1.96                  87.232241954          167.576574047         0                     -383.176141876        20.4705490831         
37                    2                     88.9646552668         216.456572121         0                     -465.24429629         -23.0070820065        
38                    2.04                  74.3871305367         162.416167404         0                     -357.815728253        -32.1087648395        
39                    2.08                  74.1203338351         144.236794082         0                     -331.059175843        -24.0197602146        
40                    2.12                  49.1183554578         48.3763368487         0                     -141.045384472        -24.6926649196        
41                    2.16                  56.7779988642         46.2576990202         0                     -145.182884712        -17.6201783869        
42                    2.2                   47.5710158893         147.469676528         0                     -269.676806247        -12.2494230305        
43                    2.24                  32.438817021          98.4114297375         0                     -171.068503936        -10.4232599489        
44                    2.28                  37.888047553          88.692556321          0                     -170.556579344        16.5347335744         
45                    2.32                  29.0598495121         134.715859292         0                     -200.030523049        -0.189528761559       
46                    2.36                  24.9004975191         73.8509336638         0                     -111.6109594          5.14567698812         
47                    2.4                   28.7600427785         87.0283388309         0                     -132.046400354        14.2210771591         
48                    2.44                  32.831264224          75.0102313901         0                     -121.381035842        16.6910679605         
49                    2.48                  24.1184602541         49.3262220722         0                     -77.4604983458        12.0460665187         
# ----------------------------------------------------------------
# b_alpha             b_beta                b_delta               
# ----------------------------------------------------------------
2.53734946885         5.78325384817         5.00954505557         
