# m3pi             BFF                std                
0.96               -4.19518058        0.777016146        
1                  -2.15933032        0.779174072        
1.04               -3.17712557        0.154318892        
1.08               -3.09357471        0.0447643423       
1.12               -2.46864215        0.0514314415       
1.16               -2.94621827        0.0237911262       
1.2                -2.65509738        0.037458378        
1.24               -2.87611342        0.0153266899       
1.28               -3.10639357        0.0195214381       
1.32               -2.77049922        0.019835573        
1.36               -2.63515559        0.0380608576       
1.4                -2.60478862        0.0441820874       
1.44               -2.72393973        0.0245926294       
1.48               -2.69527421        0.0254110159       
1.52               -2.69195163        0.0152818936       
1.56               -2.72282068        0.0121123393       
1.6                -2.7752595         0.0108738238       
1.64               -2.78938364        0.0114923154       
1.68               -2.79636025        0.0112533826       
1.72               -2.83434024        0.00992001109      
1.76               -2.85299887        0.0096090709       
1.8                -2.93951323        0.00788005545      
1.84               -2.99895528        0.00910045913      
1.88               -3.0360665         0.0101172641       
1.92               -3.09367739        0.00397657275      
1.96               -3.19496526        0.0223881259       
2                  -3.09218129        0.00200162719      
2.04               -3.05209688        0.00360821372      
2.08               -3.06916528        0.00276533039      
2.12               -2.9682801         0.0415158043       
2.16               -3.02081793        0.00752053841      
2.2                -3.09620125        0.00278071819      
2.24               -3.08073756        0.00459243443      
2.28               -3.23823638        0.00391209845      
2.32               -3.14064515        0.0032800968       
2.36               -3.18766372        0.00524782433      
2.4                -3.24887672        0.00580613742      
2.44               -3.27824532        0.00514048048      
2.48               -3.29586927        0.00677591942      
