# m3pi             BFF                std                
0.96               3.1359301e-13      92.6121393         
1                  286.683851         234.17645          
1.04               0.0601190482       14.5399898         
1.08               63.0013375         72.0019094         
1.12               196.938672         4.15297999         
1.16               128.226328         21.4012485         
1.2                374.362524         28.8024856         
1.24               400.321417         24.2190606         
1.28               341.666341         26.1500575         
1.32               499.166765         18.2531009         
1.36               507.047214         14.3785752         
1.4                410.494921         11.8687358         
1.44               381.99786          11.3808778         
1.48               386.694544         11.0203113         
1.52               402.49745          10.3454382         
1.56               399.788271         10.2882246         
1.6                391.256438         9.93098749         
1.64               348.12409          9.31883743         
1.68               299.950597         7.91507601         
1.72               265.40542          6.97675552         
1.76               223.713687         6.05756641         
1.8                190.667426         5.10848963         
1.84               159.886661         5.08243653         
1.88               135.191846         4.59888444         
1.92               117.412            5.0200196          
1.96               87.232242          4.97608901         
2                  88.9646553         4.91390242         
2.04               74.3871305         3.87265675         
2.08               74.1203338         3.62447238         
2.12               49.1183555         2.16784568         
2.16               56.7779989         2.24685051         
2.2                47.5710159         2.91481824         
2.24               32.438817          1.97853831         
2.28               37.8880476         2.10545837         
2.32               29.0598495         2.49092138         
2.36               24.9004975         1.71619926         
2.4                28.7600428         1.93410616         
2.44               32.8312642         1.83580708         
2.48               24.1184603         1.28068476         
