# m3pi             BFF                std                
0.96               1652.096           1667.46925         
1                  131.275581         37.4229642         
1.04               1788.24955         405.897761         
1.08               1253.12827         229.464429         
1.12               943.691117         105.22501          
1.16               1360.09032         194.520728         
1.2                620.765563         82.2082207         
1.24               895.743498         71.2744735         
1.28               959.226595         88.1893131         
1.32               386.043694         46.086398          
1.36               99.2868253         42.9076095         
1.4                73.5800289         38.3522611         
1.44               160.373892         33.8073304         
1.48               85.6245488         29.6915449         
1.52               14.2064735         10.7228485         
1.56               16.6754449         8.12342752         
1.6                2.65447418         2.43866608         
1.64               3.87759081e-07     0.866358877        
1.68               0.321323381        0.243213468        
1.72               0.000324578782     0.014789911        
1.76               1.11502369         0.0222323879       
1.8                20.8862373         2.56243844         
1.84               75.6712361         16.2220688         
1.88               112.073563         16.8313604         
1.92               191.479503         13.0331101         
1.96               167.576574         19.0358201         
2                  216.456572         10.3428709         
2.04               162.416167         9.8236364          
2.08               144.236794         7.05080318         
2.12               48.3763368         16.1259903         
2.16               46.257699          7.58637733         
2.2                147.469677         7.14675468         
2.24               98.4114297         7.68789621         
2.28               88.6925563         5.89240049         
2.32               134.715859         6.54981767         
2.36               73.8509337         10.6121769         
2.4                87.0283388         6.34746191         
2.44               75.0102314         6.4152515          
2.48               49.3262221         8.68357824         
