# m3pi             BFF                std                
0.96               19260.779          12154.0377         
1                  8163.31637         3803.11168         
1.04               5328.61733         4211.69408         
1.08               1638.82763         1199.9058          
1.12               4232.05244         697.256744         
1.16               4356.4405          689.872728         
1.2                3320.22571         345.051546         
1.24               3869.36993         253.247192         
1.28               2989.48975         241.542713         
1.32               2166.08656         137.925553         
1.36               1513.03361         108.640921         
1.4                991.782855         91.9824493         
1.44               1125.22399         76.6625114         
1.48               881.411942         64.7350688         
1.52               810.810334         29.8695452         
1.56               823.176674         24.0005544         
1.6                747.520949         22.5247011         
1.64               651.185958         21.714693          
1.68               551.617597         16.841463          
1.72               471.178086         14.2940657         
1.76               400.174687         11.959897          
1.8                342.207278         10.473626          
1.84               379.097371         26.0393798         
1.88               399.106205         28.2623495         
1.92               488.035358         22.3891387         
1.96               383.722555         28.4015262         
2                  465.812818         13.6238326         
2.04               359.253487         13.9341764         
2.08               331.9294           10.3804293         
2.12               143.190531         25.0911408         
2.16               146.248216         10.6686754         
2.2                269.954863         10.7167021         
2.24               171.385756         10.3091018         
2.28               171.356191         7.79704478         
2.32               200.030613         7.81772046         
2.36               111.729514         12.8785089         
2.4                132.80998          7.22980897         
2.44               122.523253         7.09322819         
2.48               78.391559          9.94105978         
